,index,artist,album,song,lyrics
58,145,Imagine Dragons,Evolve,I Don’t Know Why,"in the night i dress in black i don't know why you haven't called back but it's alright, i guess i'll just step into the sun i wish you were always with me that's okay, i don't need no enemies  i need my time ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
59,146,Imagine Dragons,Evolve,Whatever It Takes,"fallin' too fast to prepare for this trippin' in the world could be dangerous everybody circlin' is vulturous negative, nepotist  everybody waitin' for the fall of man everybody prayin' for the end of times everybody hopin' they could be the one i was born to run, i was born for this  whip, whip run me like a racehorse pull me like a ripcord break me down and build me up  i wanna be the slip, slip word upon your lip, lip letter that you rip, rip break me down and build me up  whatever it takes 'cause i love the adrenaline in my veins i do whatever it takes 'cause i love how it feels when i break the chains  whatever it takes (oh) yeah, take me to the top i'm ready for whatever it takes (oh) 'cause i love the adrenaline in my veins ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
60,147,Imagine Dragons,Evolve,Believer,"first things first, i'ma say all the words inside my head i'm fired up, and tired of the way that things have been, oh-ooh the way that things have been, oh-ooh second thing second, don't you tell me what you think that i can be i'm the one at the sail, i'm the master of my sea, oh-ooh the master of my sea, oh-ooh  i was broken from a young age taking my sulking to the masses writing my poems for the few that look at me, took to me, shook to me, feelin' me singing from heartache from the pain taking my message from the veins speaking my lesson from the brain seeing the beauty through the  pain! you made me a, you made me a believer, believer pain! you break me down, and build me up, believer, believer pain! oh, let the bullets fly, oh, let them rain ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
61,148,Imagine Dragons,Evolve,Walking The Wire,"do you feel the same when i'm away from you? (ooh-ooh, ooh-ooh) do you know the line that i'd walk for you? (ooh-ooh, ooh-ooh) we could turn around or we could give it up but we'll take what comes, take what comes oh, the storm is raging against us now (ooh-ooh, ooh-ooh) if you're afraid of falling, then don't look down (ooh-ooh, ooh-ooh) but we took the step, oh, we took the leap and we'll take what comes, take what comes  feel the wind in your hair feel the rush way up here  we're walking the wire, love we're walking the wire, love we couldn't be higher up we're walking the wire, wire, wire  there's nights we had to just walk away (ooh-ooh, ooh-ooh) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
62,149,Imagine Dragons,Evolve,Rise Up,"i was hoping for an indication i was seeking higher elevation (aye-aye-aye, aye-aye-aye) i've been shaken, waking in the night light i've been breaking, hiding from the spotlight (aye-aye-aye, aye-aye-aye)  the more i stray, the less i fear and the more i reach, the more i fade away the darkness right in front of me oh, it's calling out, and i won't walk away  i would always open up the door always looking up for higher floors want to see it all, give me more (rise, rise up) i was always up for making changes walking down the street meeting strangers flipping through my life, turning pages (rise, rise up)  like a prayer that only needs a reason ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
64,151,Imagine Dragons,Evolve,Yesterday,"here's to my future here's to my yesterday here's to change oh, here's to my yesterday no tomorrow without a yesterday here's to my future goodbye to yesterday  all these years i've been searching for who i'm supposed to be all this time i've been wasting 'cause i was right in front of me  oh, it's a crooked old tradition by a masterful magician but in all this trouble i've met i haven't got one single regret, no  here's to my future here's to my yesterday here's to change oh, here's to my yesterday ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
65,152,Imagine Dragons,Evolve,Mouth Of The River,"(woah, now)  on the mouth of the river (woah, now) on the mouth of the river (woah, now) (woah, now) on the mouth of the river  i wanna live a life like that live the life of the faithful one wanna bow to the floor with everybody else wanna be someone  i wanna make some love i don't want no enemies oh, it's a curse of the man always living life, living live living just to please  oh, the mouth of the river and the wrath of the giver with the hands of a sinner oh, the mouth of the river (woah, now)  oh, the mouth of the river (woah, now) and the wrath of the giver (woah, now) with the hands of a sinner (woah, now) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
66,153,Imagine Dragons,Evolve,Thunder,"just a young gun with a quick fuse i was uptight, wanna let loose i was dreaming of bigger things, and wanna leave my own life behind not a ""yes, sir"", not a follower fit the box, fit the mold, have a seat in the foyer, take a number i was lightning before the thunder (thunder)  thunder, thunder, thun- thunder, th-th-thunder, thunder thunder, thunder, thun- thunder, th-th-thunder, thunder  thunder, feel the thunder (thun-, thun-) lightning then the thunder (th-th-thunder, thunder) thunder, feel the thunder (thun-, thun-) lightning then the thunder, thunder (th-th-thunder, thunder)  thunder thunder ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
67,154,Imagine Dragons,Evolve,Start Over,"clenched teeth, no words all this distance taking its toll speaking volumes silence screaming over your words i never did you right, i know that too many sleepless nights, i own that i said it time and time, i know that i wanna try again  can we start over? can we start over? can we start over? before it's over, over?  cold nights, cold sheets one more lonely empty hotel room ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
68,155,Imagine Dragons,Evolve,Dancing In The Dark,"don't throw my name 'round here like that you could get us in some trouble talking that way and monday you got me, that's a fact you could get me in some trouble talking that way and i don't need nobody  if you ever wanna join me baby, i'll be dancing in the dark  if you ever wanna join me baby, i'll be dancing in the dark  dancing in the join me dancing in the join me baby ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
